name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Matthew Canavan,173,43,42,0,57,1,69,10,74,0,1,7,49,18,1,1,3
Meredith Doig,9,3,9,0,0,0,7,0,9,0,0,0,9,0,0,0,0
Matt Timson,10,3,3,0,5,0,4,0,1,0,0,0,2,0,0,1,1
Tamarra Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick McKim,26,9,7,0,11,1,12,6,14,0,2,0,6,3,0,0,0
Malcolm Roberts,417,77,129,8,79,2,173,25,154,11,9,16,87,32,20,4,21
Zed Seselja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Xenophon,51,17,23,17,1,0,20,3,15,0,47,1,15,15,22,0,3
Naomi Halpern,25,7,13,1,2,0,10,3,11,0,1,0,12,1,0,1,1
Nova Peris,21,8,15,1,8,1,20,1,14,0,0,6,19,4,2,0,1
Rachel Siewert,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pat Honan,62,16,12,0,17,0,23,3,31,0,1,8,15,4,2,0,0
Misha Coleman,56,18,27,7,15,2,35,6,30,0,6,2,27,7,5,0,6
Richard Colbeck,7,4,5,0,4,0,6,0,5,0,0,0,5,0,0,0,2
Scott Ludlam,38,6,5,4,5,0,7,4,6,0,5,0,6,0,4,1,30
Mark Reed,2527,413,537,263,205,13,610,160,965,84,461,127,499,161,285,19,528
Mitch Fifield,71,30,35,0,33,0,41,0,49,2,1,6,38,19,1,0,1
Mitchell Carr,530,89,149,23,82,4,210,52,172,12,27,30,97,41,26,12,32
Murray Watt,149,52,90,8,44,2,102,25,108,7,5,4,60,20,8,2,12
Rod McGarvie,12,4,9,0,1,0,8,0,9,0,0,0,12,0,0,0,0
Sarah Hanson-Young,12,0,0,0,0,0,0,0,7,0,10,0,0,0,1,0,0
Penny Wong,350,87,205,17,81,2,173,74,171,12,111,28,135,66,53,5,23
Michael Osborne,1222,462,764,210,233,1,758,157,693,13,724,138,372,255,458,7,370
Pat Dodson,201,48,54,1,70,1,79,8,75,0,1,10,66,18,1,2,5
Pauline Hanson,69,26,28,9,19,1,37,18,35,6,16,6,23,8,11,11,12
Michael Allison,5980,526,1182,356,528,3,1185,192,1747,110,1162,125,785,185,723,56,430
Nicky Cohen,91,35,58,12,27,1,67,17,51,6,7,14,46,29,15,0,14
Richard Di Natale,209,41,52,2,42,2,60,8,71,0,1,5,53,16,8,1,3
Robert Simms,269,54,93,4,45,1,112,21,133,2,5,5,62,27,4,3,4
Raymond Bennie,36,24,29,2,20,0,29,3,29,2,1,1,29,16,1,1,3
Rikki Lambert,22,11,15,0,7,0,19,0,15,1,0,0,15,1,0,0,2
Rob Waterman,148,52,69,20,63,1,78,15,69,5,20,3,68,34,18,2,22
Rob Marks,947,367,414,241,215,19,491,150,506,141,323,114,357,196,242,45,222
Stuart Grimley,2,1,2,0,1,0,2,0,1,0,0,0,2,0,0,0,0
Sheridan Ingram,102,42,54,1,40,1,77,2,51,4,2,8,59,22,4,6,6
Stephen Conroy,298,70,78,7,67,1,99,28,167,7,55,10,62,23,11,9,13
Sean Edwards,1017,204,299,123,93,1,345,125,345,11,102,99,206,39,102,27,92
Scott Ryan,9533,594,797,652,169,9,1150,229,2666,87,624,294,468,204,290,45,1303
Ross Fitzgerald,399,72,126,10,82,1,175,29,145,13,7,19,92,34,9,5,24
Seamus Doherty,56,29,38,0,26,0,39,0,41,0,0,0,43,14,0,1,2
Stirling Griff,88,39,43,0,40,1,48,6,66,0,0,6,46,16,0,0,1
Simon Birmingham,218,74,95,18,66,1,152,20,86,18,28,16,75,45,16,9,28
Suellen Wrightson,7,3,7,0,0,0,7,0,7,0,0,0,7,0,0,0,0
Steven Burgess,311,68,111,3,53,1,120,26,136,4,9,14,83,21,17,5,12
Stephen Parry,325,83,146,80,87,1,162,36,163,10,45,26,107,62,41,11,43
Susan Bowers,250,56,100,1,58,1,123,26,113,4,3,11,69,19,3,4,10
Sue Wareham,94,40,61,0,39,0,68,13,71,1,0,2,37,20,4,5,3
Steve Martin,4197,1000,1250,433,479,20,1146,506,1443,87,540,134,786,269,612,33,726
Susan Price,2829,979,1237,665,612,32,1215,549,1432,84,971,399,1040,536,910,50,552
Vivien Thomson,10,6,6,3,5,0,7,2,8,2,4,2,7,6,3,1,5
Zhenya Wang,2,2,2,0,2,0,1,0,2,0,1,0,2,2,2,0,1
Tara Moriarty,71,35,46,1,44,1,55,2,45,1,1,0,49,18,1,1,2
Suzanne Cass,77,50,55,2,36,1,66,7,51,2,3,0,47,22,6,7,5
Suzanne Grant,758,280,216,48,85,3,252,76,244,33,42,31,120,48,65,19,80
Sue Lines,2102,1222,1244,984,796,24,1334,722,1396,122,1132,528,1077,732,965,61,901
Wes Fang,162,51,136,6,30,1,129,2,132,3,1,6,60,23,84,2,83
Tony Moore,1179,200,228,62,104,10,382,69,352,20,70,52,166,81,76,8,81
