name,total,property,tax,corruption,mining,lobbyist,union,fraud,source,leak,opposition,faction,foreign investment,declaration,proposal,donation,incident
Terry Morgan,771,151,203,51,156,7,302,79,293,16,68,55,167,73,67,16,70
Tim Hammond,621,72,132,28,77,6,184,30,292,18,33,19,99,33,26,2,137
Tina MacFarlane,52,25,36,1,26,1,35,2,42,0,1,0,39,17,0,1,2
Sue Bull,419,181,243,116,108,2,274,103,277,56,133,74,176,101,158,20,133
Tim Clifford,508,144,213,76,103,4,269,77,231,18,81,34,175,56,81,13,87
Thor Kerr,103,43,49,1,46,1,60,9,70,1,2,5,52,18,0,1,2
Ted O'Brien,300,73,141,19,76,0,151,25,136,17,17,24,86,40,22,2,29
Thomas French,7074,1752,2653,1972,1417,93,4134,1278,3741,415,2900,855,2435,1179,2377,126,1898
Terri Butler,122,62,67,14,39,1,69,20,62,17,11,10,55,29,17,12,23
Troy Aggett,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Tim Roberts,939,198,228,53,126,3,299,66,330,24,58,29,172,74,93,11,67
Tim Lawson,486,117,160,30,71,1,196,41,198,25,39,32,135,42,34,12,39
Tom Cummings,360,61,118,3,60,3,155,26,147,6,8,20,78,28,17,3,7
Tim Watts,396,75,131,16,60,3,147,46,153,9,11,16,83,28,14,5,25
Todd Williams,1714,224,400,40,98,2,503,66,553,20,59,24,160,47,135,22,145
Tony Zappia,14,5,12,0,1,0,10,0,11,0,2,0,10,0,0,0,0
Tony Abbott,935,119,328,20,212,2,206,37,241,11,602,33,148,42,128,5,82
Tom Gordon,2368,595,796,554,507,21,924,489,946,175,619,308,675,377,571,30,443
Tony Burke,739,121,190,44,130,6,256,42,219,22,95,39,152,51,109,13,98
Warren Entsch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Windsor,309,75,136,38,112,3,198,41,152,13,74,21,123,59,57,2,25
Tom Webster,501,86,146,19,81,2,211,36,204,12,20,20,107,40,38,8,37
Ursula Bennett,41,13,15,2,5,0,24,1,26,2,1,0,14,1,0,3,5
Warren Snowdon,46,29,37,0,28,0,40,1,37,0,0,0,38,14,0,1,2
Trent Zimmerman,177,44,94,2,42,0,96,17,107,4,2,8,61,23,1,4,5
Viv Glance,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Wayne Swan,942,93,450,52,280,2,358,18,361,10,324,27,236,99,172,3,104
Trevor Evans,332,75,129,15,57,1,158,24,147,14,12,17,85,29,18,6,25
Trevor Young,642,190,231,138,136,20,331,64,319,31,145,71,242,108,125,18,125
Wendy Tubman,18,10,13,4,4,1,15,1,13,4,0,2,12,4,4,0,4
Tom Hunt,2436,582,866,589,517,38,965,465,1026,199,920,254,725,371,656,45,620
Tony Gibson,567,138,168,57,104,2,239,63,206,23,51,37,120,54,39,17,71
Tim Wilson,4833,414,662,245,341,6,929,180,1651,65,1109,147,552,303,495,51,918
Wayne Hartman,301,62,94,6,67,3,135,22,142,10,4,11,69,29,12,3,19
Tony Smith,2510,463,604,297,381,15,750,270,809,82,475,137,428,207,333,44,360
Yvonne Keane,86,36,47,1,42,1,54,2,63,2,1,3,49,18,0,1,2
Tony Clark,1357,269,336,155,206,7,468,151,419,62,184,78,293,126,181,27,169
Wyatt Roy,225,55,97,5,49,1,134,25,118,8,1,17,69,28,10,3,14
Zac Beers,36,22,30,0,19,0,27,0,33,0,0,0,31,13,0,0,1
Zane Alcorn,70,31,39,0,30,0,45,0,55,0,0,7,45,17,0,0,1
